geonames_id,Place_geonames_id,lat_geonames_id,lon_geonames_id
3427322,Arroyo Yabebiry,-27.31277,-55.58617
3427323,W. Los Santos,-28.55483,-56.72433
3427324,Laguna Wiralaé,-24.83997,-59.14866
3427325,Parada William C. Morris,-34.57881,-58.65601
3427326,Wilde,-34.70411,-58.31727
3427327,Colonia Wanda,-25.97337,-54.56304
3427328,Walter Moss,-31.40414,-58.53565
3427329,Estancia V. Zenaida,-28.12377,-56.23286
3427330,Vuelta de Obligado,-33.59511,-59.81596
3427331,Vuelta del Tordillo,-34.17887,-58.8602
3427332,Vuelta del Este,-34.13704,-58.98399
3427333,Punta Vorohué,-38.229,-57.72885
3427334,Sierra del Volcán,-37.84418,-58.08762
3427335,Isla Vizcaíno,-33.7947,-59.2406
3427336,Estancia Vizcacheras,-31.12233,-59.76517
3427337,Estancia Vivoratá,-37.70888,-57.57526
3427338,Estancia Vivoratá,-37.7,-57.56667
3427339,Arroyo Vivoratá,-37.73871,-57.42945
3427340,Vivoratá,-37.66316,-57.66812
3427341,Vivero Forestal,-25.7866,-59.30411
3427342,Bañado Vivero de las Garzas,-28.61082,-56.22947
3427343,Laguna de la Viuda,-35.72448,-57.86048
3427344,Estancia Vitel Lauquén,-35.51339,-58.09875
3427345,Laguna Vitel,-35.52755,-58.11612
3427346,Arroyo Vitel,-35.5127,-58.14456
3427347,Puesto Vista Alegre,-36.61667,-56.91667
3427348,Puesto Vista Alegre,-28.06277,-56.39706
3427349,Puesto Vista Alegre,-25.54184,-57.99933
3427350,Vista Alegre,-25.0182,-58.57116
3427351,Estancia Vista Alegre,-35.4784,-57.77789
3427352,Estancia Vista Alegre,-34.98954,-57.62761
3427353,Estancia Vista Alegre,-28.71936,-56.84368
3427354,Virreyes,-34.46326,-58.57464
3427355,Capilla Virgen del Valle,-33.08342,-58.8063
3427356,Colonia Viraró,-31.29097,-59.42773
3427357,Colonia Viraró,-26.78837,-58.58553
3427358,Río de las Viñas,-25.83333,-59.96667
3427359,Arroyo Villoldo,-35.25219,-57.24665
3427360,Isla Villeta,-25.53082,-57.58378
3427361,Villa Zorraquín,-31.32185,-58.01448
3427362,Villa Zagala,-34.55125,-58.53768
3427363,Villa Vilma,-27.31748,-54.60887
3427364,Estancia Villa Victoria,-28.39933,-56.68902
3427365,Villa Svea,-27.48617,-55.14633
3427366,Villa Soldati,-34.66072,-58.44387
3427367,Villa Sarmiento,-34.70125,-58.38319
3427368,Villa San Pedro,-36.79467,-59.0497
3427369,Villa San Marcial,-32.18017,-58.93032
3427370,San José,-32.21237,-58.21912
3427371,Villa Sanguinetti,-34.64964,-58.75587
3427372,Villa San Gregorio,-28.1,-55.88333
3427373,Villa San Francisco,-34.77233,-58.20366
3427374,Villa Rural,-27.78333,-55.23333
3427375,Villars,-34.82664,-58.93955
3427376,Estancia Villa Rosa,-29.13962,-57.98151
3427377,Villa Rosa,-34.41703,-58.87031
3427378,Colonia Villa Rica,-25.27299,-59.23829
3427379,Villa Riachuelo,-34.68967,-58.47132
3427380,Villa Laguna La Brava,-37.86122,-57.98101
3427381,Villa Reichembach,-34.6558,-58.69997
3427382,Villa Recondo,-34.70576,-58.4761
3427383,Villa Real,-34.62077,-58.5224
3427384,Villa Real,-25.04863,-58.55477
3427385,Villa Progreso,-34.59097,-58.52773
3427386,Villa Paranacito,-33.71381,-58.65844
3427387,Villa Ortúzar,-34.57973,-58.46829
3427388,Villa Ocampo,-28.48689,-59.35423
3427389,Villa Numancia,-34.91902,-58.40982
3427390,Villa Nueva Montevideo,-32.5258,-58.93459
3427391,Arroyo Villanueva-miní,-29.06323,-58.60969
3427392,Laguna Villanueva,-36.16846,-58.00809
3427393,Laguna Villanueva,-36.02857,-58.48154
3427394,Villanueva,-35.67531,-58.43388
3427395,Villa Mitre,-35.05752,-58.14983
3427396,Villa Mason,-27.19231,-55.52572
3427397,Villa Martínez de Hoz,-34.62364,-58.58135
3427398,Villa Martín Arín,-34.78015,-58.35755
3427399,María Grande,-31.66503,-59.89969
